Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL	5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL	5alpha-cholesta-7,24-dien-3beta-ol	384.3392160345					C27H44O			plantcyc <https://plantcyc.org/>		384.3392160345	CC(C)=CCC[C@@H](C)[C@H]1(CC[C@@H]3([C@@](C)1CC[C@H]2([C@]4(C)([C@H](CC=C23)C[C@@H](O)CC4))))		PKEPPDGGTSZLBL-SKCNUYALSA-N									PlantCyc/PMN local PGDB
CPD-12841	CPD-12841	2,4-dihydroxyquinoline	163.0633285383					C9H9NO2			plantcyc <https://plantcyc.org/>	2,4-quinolinediol	163.0633285383	C1(\C=C/C2(/NC(O)/C=C(C(/C=1)=2)/O))		RJINPVKBEQSXIS-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
CPD-3617	CPD-3617	decanoate	172.1463298862					C10H19O2			plantcyc <https://plantcyc.org/>	caprate // decanoic acid // n-decanoate // n-capric acid // caprinic acid // caprinate // capric acid	172.1463298862	CCCCCCCCCC(=O)[O-]		GHVNFZFCNZKVNT-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
CPD-13118	CPD-13118	GDP-beta-L-fucose	589.08223818					C16H23N5O15P2			plantcyc <https://plantcyc.org/>	GDP-beta-L-fucopyranose // GDP-L-fucose // guanosine diphosphate fucose // GDP-L-fucopyranose // GDP-L-Fuc // GDP-L-Fuc p	589.08223818	C[C@@H]4(O[C@H](OP(OP(=O)([O-])OC[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3))(=O)[O-])[C@H]([C@@H]([C@@H]4O)O)O)		LQEBEXMHBLQMDB-JGQUBWHWSA-L									PlantCyc/PMN local PGDB
CPD-26783	CPD-26783	OA-6129 B2	473.1831856775					C20H30N3O8S			plantcyc <https://plantcyc.org/>		473.1831856775	C[C@@H](O)[C@H]1(C(=O)N2(C(\C(=O)[O-])=C(C[C@H]12)/SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO))		HNLNYXRYILRJHY-JDOCFBBISA-M									PlantCyc/PMN local PGDB
CPD-13370	CPD-13370	(2E,4E,6E)-4-methylocta-2,4,6-trienedial	150.0680795652					C9H10O2			plantcyc <https://plantcyc.org/>		150.0680795652	CC(/C=C/C=O)=C\C=C\C=O		HLZZDTVXNYNFKH-BNFXUGDESA-N									PlantCyc/PMN local PGDB
CPD0-1246	CPD0-1246	D,L-cyclohexanephosphinothricin	221.0816945172					C8H15NO4P			plantcyc <https://plantcyc.org/>	CHPPT	221.0816945172	CP([O-])(=O)C1(CC(C(=O)[O-])([NH3+])CCC1)		ZAIBDODFHKWMIG-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
CPD0-1326	CPD0-1326	p-(bromoacetamido)phenyl uridyl pyrophosphate	614.9654733649					C17H18N3O13P2BR			plantcyc <https://plantcyc.org/>		614.9654733649	C(Br)C(=O)NC3(\C=C/C(/OP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2)))=C\C=3)		RQKFRKXXIQLRRR-RAEVTNRLSA-L									PlantCyc/PMN local PGDB
CPD-15074	CPD-15074	2-hydroxynaringenin	288.0633881178					C15H11O6			plantcyc <https://plantcyc.org/>		288.0633881178	C3(/C=C(\C=C/C(/C1(O)(OC2(\C(\C(=O)C1)=C(/C=C(/C=2)/[O-])\O)))=3)/O)		NFENYLPEYDNIMO-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
CPD-19753	CPD-19753	2-dehydro-3-deoxy-D-octonate	238.0688674262					C8H13O8			plantcyc <https://plantcyc.org/>	keto-3-deoxy-D-manno-octulosonate // 3-deoxy-D-manno-octulosonate // keto-3-deoxy-D-manno-oct-2-ulosonate	238.0688674262	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C(=O)C([O-])=O		KYQCXUMVJGMDNG-SHUUEZRQSA-M									PlantCyc/PMN local PGDB
