PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPD-7612	RXN-12319	PWY-5203	left	soyasapogenol B-3- O -beta-glucuronide	C19763	53239764	62441
CPD-7610	RXN-8084	PWY-5203	right	soyasapogenol B	C08980	13632844	9209
CPD-7610	RXN-9037	PWY-5774	left	soyasapogenol B	C08980	13632844	9209
CPD-7610	RXN-19689	PWY-5774	left	soyasapogenol B	C08980	13632844	9209
CPD-7610	RXN-8086	PWY-5203	left	soyasapogenol B	C08980	13632844	9209
CPD-7610	RXN-8085	PWY-5203	right	soyasapogenol B	C08980	13632844	9209
CPD-7610	RXN-19688	PWY-5774	left	soyasapogenol B	C08980	13632844	9209
CPD-7609	RXN-8083	PWY-5203	right	sophoradiol	C19733	124061	62458
CPD-7609	RXN-8084	PWY-5203	left	sophoradiol	C19733	124061	62458
CPD-7608	RXN-8082	PWY-5203	right	24-hydroxy-beta-amyrin	C19732	25203753	62459
CPD-7608	RXN-8085	PWY-5203	left	24-hydroxy-beta-amyrin	C19732	25203753	62459
Soluble-Heteroglycans	RXN-14354	PWY-7238	right	a plant soluble heteroglycan			
Soluble-Heteroglycans	RXN-14353	PWY-7238	left	a plant soluble heteroglycan			
Soluble-Heteroglycans	RXN-14353	PWY-7238	right	a plant soluble heteroglycan			
Soluble-Heteroglycans	RXN-14354	PWY-7238	left	a plant soluble heteroglycan			
MALTOSE	RXN-12278	PWY-6724	right	maltose	C00208	439186	17306
MALTOSE	RXN-12279	PWY-6724	right	maltose	C00208	439186	17306
MALTOSE	RXN-14354	PWY-7238	right	maltose	C00208	439186	17306
MALTOSE	RXN-12384	PWY-6724	right	maltose	C00208	439186	17306
MALTOSE	RXN-15910	PWY-842	left	maltose	C00208	439186	17306
CPD-11685	RXN-13765	PWY-7129	left	quercetin 4'-O-beta-D-glucoside		54758556	187902
CPD-11685	RXN-10788	PWY-7129	right	quercetin 4'-O-beta-D-glucoside		54758556	187902
CPD-11685	RXN-13784	PWY-7133	right	quercetin 4'-O-beta-D-glucoside		54758556	187902
CPD-11685	RXN-13785	PWY-7133	left	quercetin 4'-O-beta-D-glucoside		54758556	187902
CPD-14753	RXN-13766	PWY-7129	right	quercetin 3,4'- O -diglucoside		5320835	131498
CPD-14753	RXN-13784	PWY-7133	left	quercetin 3,4'- O -diglucoside		5320835	131498
CPD-14753	RXN-13765	PWY-7129	right	quercetin 3,4'- O -diglucoside		5320835	131498
PHENYLACETALDOXIME	RXN-12065	PWY-7824	right	( Z )-phenylacetaldehyde oxime	C16075	5939523	50723
PHENYLACETALDOXIME	4.99.1.7-RXN	PWY-7824	left	( Z )-phenylacetaldehyde oxime	C16075	5939523	50723
CPD-16781	RXN-15541	PWY-7507	right	dihydrochelerythrine		485077	140672
CPD-16781	RXN-15543	PWY-7507	right	dihydrochelerythrine		485077	140672
CPD-16781	RXN-15542	PWY-7507	left	dihydrochelerythrine		485077	140672
CPD-16782	RXN-15542	PWY-7507	right	chelerythrine	C12227	2703	78373
CPD-16782	RXN-15543	PWY-7507	left	chelerythrine	C12227	2703	78373
CPD-14846	RXN-15541	PWY-7507	left	6-hydroxy-allocryptopine		90659124	
CPD-14846	RXN-13828	PWY-7507	right	6-hydroxy-allocryptopine		90659124	
ALLOCRYPTOPINE	1.14.13.37-RXN	PWY-7507	right	allocryptopine	C02134	98570	17390
