Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
PAPS	PAPS	3'-phosphoadenylyl-sulfate	506.9862293048					C10H11N5O13P2S			plantcyc <https://plantcyc.org/>	phosphoadenosine-5'-phosphosulfate // phosphoadenosine phosphosulfate // 3'-phosphoadenosine-5'-phosphosulfate // 3'-phosphoadenylyl sulfate // 3'-phospho-5'-adenylyl sulfate	506.9862293048	C(OP(=O)([O-])OS(=O)([O-])=O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP([O-])(=O)[O-])3)		GACDQMDRPRGCTN-KQYNXXCUSA-J	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside 3',5'-bisphosphates	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-714	CPD-714	cathasterone	432.3603454071					C28H48O3			plantcyc <https://plantcyc.org/>	(22S)-3beta,22-dihydroxy-5alpha-campestan-6-one	432.3603454071	CC(C)[C@H](C)C[C@H](O)[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CC(=O)[C@H]1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))		JSVPGVHCEQDJCZ-VGEHDTSWSA-N	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-7087	CPD-7087	(+)-dihydromyricetin	320.053217362					C15H11O8			plantcyc <https://plantcyc.org/>	(+)-ampelopsin	320.053217362	C3(/C(/[C@H]1(OC2(/C=C(/C=C(C(\C([C@@H]1O)=O)=2)/O)/[O-])))=C\C(\O)=C(C(/O)=3)\O)		KJXSIXMJHKAJOD-LSDHHAIUSA-M	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavans	Epigallocatechins	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-16638	CPD-16638	12-demethyl-elloramycin	646.1897704229					C31H34O15			plantcyc <https://plantcyc.org/>	8-demethyl-8-(2,3,4-O-trimethyl-alpha-L-rhamnosyl)-tetracenomycin C	646.1897704229	CC1(/C3(C(/C=C(C(/C(=O)OC)=1)/O[C@H]2([C@H](OC)[C@@H]([C@H]([C@H](C)O2)OC)OC))=C/C4(/C([C@]5([C@@H](C(/OC)=C\C(=O)[C@@](C(C(/C(O)=3)=4)=O)5O)O)O)=O)))		GDMKCWSZMAFALT-WNSZSYCKSA-N	Organic compounds	Benzenoids	Naphthacenes	Tetracenequinones	Tetracenequinones	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-14742	CPD-14742	linalyl beta-vicianoside	448.2308473766					C21H36O10			plantcyc <https://plantcyc.org/>	linalyl 6- O -alpha- L -arabinopyranosyl- beta- D -glucopyranoside	448.2308473766	C=CC(O[C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO[C@H]2([C@@H]([C@@H](O)[C@H](CO2)O)O))O)O))(C)CCC=C(C)C		OKNPZRJNRSGKME-AVIYVUCBSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
PHTYOSPHINGOSINE-1-P	PHTYOSPHINGOSINE-1-P	phytosphingosine (C18) 1-phosphate	397.2593245318					C18H39NO6P			plantcyc <https://plantcyc.org/>	(2S,3S,4R)-2-ammonio-3,4-dihydroxyoctadecyl phosphate	397.2593245318	CCCCCCCCCCCCCC[C@@H](O)[C@H]([C@H](COP([O-])(=O)[O-])[NH3+])O		AYGOSKULTISFCW-KSZLIROESA-M							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
2-MERCAPTOETHANOL	2-MERCAPTOETHANOL	2-sulfanylethan-1-ol	78.0139355047					C2H6OS			plantcyc <https://plantcyc.org/>	hydroxyethyl sulfide // beta-mercaptoethanol // 2-mercaptoethanol	78.0139355047	C(O)CS		DGVVWUTYPXICAM-UHFFFAOYSA-N	Organic compounds	Organosulfur compounds	Thiols	Alkylthiols	Alkylthiols	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-11770	CPD-11770	7,8-dihydromonapterin	255.0967539317					C9H13N5O4			plantcyc <https://plantcyc.org/>	L- threo -7,8-dihydroneopterin	255.0967539317	C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@@H](O)CO)=2))		YQIFAMYNGGOTFB-NJGYIYPDSA-N	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives	Biopterins and derivatives	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-560	CPD-560	5-(methylsulfanyl)-D-ribose	180.0456295636					C6H12O4S			plantcyc <https://plantcyc.org/>	5-methylthio-D-ribose // 5-methylthioribose // S -methyl-5-thio-D-ribofuranose // S -methyl-5-thio-D-ribose	180.0456295636	CSC[C@H]1(OC([C@@H]([C@@H]1O)O)O)		OLVVOVIFTBSBBH-JDJSBBGDSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Pentoses	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-9871	CPD-9871	5-methoxy-2-methyl-3-( all-trans -decaprenyl)benzene-1,4-diol	834.6889967553					C58H90O3			plantcyc <https://plantcyc.org/>	6-methoxy-3-methyl-2-decaprenyl-1,4-benzoquinol // 6-methoxy-5-methyl-2-decaprenyl-1,4-benzoquinol // 6-methoxy-3-methyl-2-( all-trans -decaprenyl)-1,4-benzoquinol	834.6889967553	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(/C(\C)=C(/C=C(C(/O)=1)/OC)/O)		XCOXSBLQZPFVGK-RGIWONJESA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	Polyprenyl quinols	Aromatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
