PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	PRIBFAICARPISOM-RXN	HISTSYN-PWY	left	1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	C04896	45266644	58435
PHOSPHORIBOSYL-AMP	HISTPRATPHYD-RXN	HISTSYN-PWY	right	1-(5-phospho-beta-D-ribosyl)-AMP	C02741	45480652	59457
PHOSPHORIBOSYL-AMP	HISTCYCLOHYD-RXN	HISTSYN-PWY	left	1-(5-phospho-beta-D-ribosyl)-AMP	C02741	45480652	59457
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	GLUTAMIDOTRANS-RXN	HISTSYN-PWY	left	phosphoribulosylformimino-AICAR-phosphate	C04916	45266672	58525
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	PRIBFAICARPISOM-RXN	HISTSYN-PWY	right	phosphoribulosylformimino-AICAR-phosphate	C04916	45266672	58525
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	IMIDPHOSDEHYD-RXN	HISTSYN-PWY	left	D- erythro -1-(imidazol-4-yl)-glycerol 3-phosphate	C04666	5459954	58278
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	GLUTAMIDOTRANS-RXN	HISTSYN-PWY	right	D- erythro -1-(imidazol-4-yl)-glycerol 3-phosphate	C04666	5459954	58278
IMIDAZOLE-ACETOL-P	HISTAMINOTRANS-RXN	HISTSYN-PWY	right	3-(imidazol-4-yl)-2-oxopropyl phosphate	C01267	25244516	57766
IMIDAZOLE-ACETOL-P	IMIDPHOSDEHYD-RXN	HISTSYN-PWY	right	3-(imidazol-4-yl)-2-oxopropyl phosphate	C01267	25244516	57766
L-HISTIDINOL-P	HISTIDPHOS-RXN	HISTSYN-PWY	left	L-histidinol phosphate	C01100	49791964	57980
L-HISTIDINOL-P	HISTAMINOTRANS-RXN	HISTSYN-PWY	left	L-histidinol phosphate	C01100	49791964	57980
HISTIDINOL	HISTIDPHOS-RXN	HISTSYN-PWY	right	histidinol	C00860	6950298	57699
HISTIDINOL	HISTOLDEHYD-RXN	HISTSYN-PWY	left	histidinol	C00860	6950298	57699
HISTIDINAL	HISTALDEHYD-RXN	HISTSYN-PWY	left	histidinal	C01929	57339283	64802
HISTIDINAL	HISTOLDEHYD-RXN	HISTSYN-PWY	right	histidinal	C01929	57339283	64802
HIS	HISTALDEHYD-RXN	HISTSYN-PWY	right	L-histidine	C00135	6971009	57595
ADENYLOSUCC	AMPSYN-RXN	PWY-7219	left	adenylosuccinate	C03794	46878398	57567
ADENYLOSUCC	ADENYLOSUCCINATE-SYNTHASE-RXN	PWY-7219	right	adenylosuccinate	C03794	46878398	57567
Aliphatic-glucosinolates	RXN-18217	PWY-5267	left	an aliphatic glucosinolate			
THIOHYDROXIMATE-O-SULFATES	RXN-8136	PWY-5267	left	an N -(sulfonatooxy)alkanimidothioic acid			
THIOHYDROXIMATE-O-SULFATES	RXN-18217	PWY-5267	right	an N -(sulfonatooxy)alkanimidothioic acid			
THIOHYDROXIMATE-O-SULFATES	RXN-8134	PWY-5267	right	an N -(sulfonatooxy)alkanimidothioic acid			
THIOHYDROXIMATE-O-SULFATES	RXN-8135	PWY-5267	left	an N -(sulfonatooxy)alkanimidothioic acid			
alkenyl-glucosinolate	RXN-18216	PWY-5267	left	an alkenyl-glucosinolate			
Alkenyl-Thiohydroximate-O-Sulfates	RXN-8137	PWY-5267	left	an N -(sulfonatooxy)alkenimidothioic acid with a terminal double bond			
Alkenyl-Thiohydroximate-O-Sulfates	RXN-18216	PWY-5267	right	an N -(sulfonatooxy)alkenimidothioic acid with a terminal double bond			
EPITHIONITRILES	RXN-8137	PWY-5267	right	an epithionitrile			
Nitriles	RXN-8136	PWY-5267	right	a nitrile	C00726		18379
Elemental-Sulfur	RXN-8136	PWY-5267	right	sulfur(0)	C00087		17909
ISOTHIOCYANATES	RXN-8135	PWY-5267	right	an isothiocyanate			52221
Glucosinolates	RXN-8134	PWY-5267	left	a glucosinolate	C17260		
CPD-16540	RXN-15333	PWY-7450	right	arabidopsis anthocyanin A11		71296141	72649;72696
CPD-16539	RXN-15332	PWY-7450	right	arabidopsis anthocyanin A9		145865165	192543
CPD-16539	RXN-15333	PWY-7450	left	arabidopsis anthocyanin A9		145865165	192543
CPD-16538	RXN-15332	PWY-7450	left	arabidopsis anthocyanin A5		145865058	192537
CPD-16538	RXN-15331	PWY-7450	right	arabidopsis anthocyanin A5		145865058	192537
CPD-16537	RXN-15331	PWY-7450	left	arabidopsis anthocyanin A3		145865157	192536
CPD-16537	RXN-15330	PWY-7450	right	arabidopsis anthocyanin A3		145865157	192536
CPD-16536	RXN-15329	PWY-7450	right	cyanidin 3- O -[6- O -(4-coumaroyl)]-beta- D -sambubioside		102515296	
CPD-16536	RXN-15330	PWY-7450	left	cyanidin 3- O -[6- O -(4-coumaroyl)]-beta- D -sambubioside		102515296	
CPD-16536	RXN-15328	PWY-7450	right	cyanidin 3- O -[6- O -(4-coumaroyl)]-beta- D -sambubioside		102515296	
CPD-16536	RXN-15329	PWY-7679	right	cyanidin 3- O -[6- O -(4-coumaroyl)]-beta- D -sambubioside		102515296	
CPD-16535	RXN-15329	PWY-7450	left	cyanidin 3- O -beta- D -sambubioside	C20490	102514937	74811
CPD-16535	RXN-15326	PWY-7450	right	cyanidin 3- O -beta- D -sambubioside	C20490	102514937	74811
CPD-16535	RXN-15329	PWY-7679	left	cyanidin 3- O -beta- D -sambubioside	C20490	102514937	74811
CPD-16535	RXN-15326	PWY-7679	right	cyanidin 3- O -beta- D -sambubioside	C20490	102514937	74811
CPD-16535	RXN-16784	PWY-7679	left	cyanidin 3- O -beta- D -sambubioside	C20490	102514937	74811
CPD-591	RXN1F-775	PWY-7450	left	cyanidin	C05905	25202542	71682
CPD-591	RXN-9725	PWY-6035	right	cyanidin	C05905	25202542	71682
CPD-18761	RXN-17352	PWY-5466	right	coniferyl alcohol radical		122706626	
CPD-18761	RXN-17353	PWY-5466	left	coniferyl alcohol radical		122706626	
CPD-18761	RXN-8677	PWY-5466	left	coniferyl alcohol radical		122706626	
CPD-18761	RXN-17351	PWY-5466	right	coniferyl alcohol radical		122706626	
CPD-8906	RXN-8683	PWY-5466	right	(-)-pinoresinol	C20455	12309636	67245
CPD-8906	RXN-17353	PWY-5466	right	(-)-pinoresinol	C20455	12309636	67245
CPD-8908	RXN-8683	PWY-5466	left	(-)-lariciresinol	C20454	23815394	67244
CPD-8908	RXN-8684	PWY-5466	right	(-)-lariciresinol	C20454	23815394	67244
CPD-8910	RXN-8684	PWY-5466	left	(+)-secoisolariciresinol	C20456	6336781	67247
CPD-8912	RXN-8681	PWY-5466	right	(-)-matairesinol	C10682	119205	6698
CPD-8911	RXN-8681	PWY-5466	left	(3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol		10316468	583103
CPD-8911	RXN-8680	PWY-5466	right	(3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol		10316468	583103
CPD-8909	RXN-8680	PWY-5466	left	(-)-secoisolariciresinol	C18167	65373	65004
CPD-8909	RXN-8679	PWY-5466	left	(-)-secoisolariciresinol	C18167	65373	65004
CPD-8907	RXN-8679	PWY-5466	right	(+)-lariciresinol	C10646	332427	67246
CPD-8907	RXN-8678	PWY-5466	left	(+)-lariciresinol	C10646	332427	67246
CPD-8905	RXN-8678	PWY-5466	right	(+)-pinoresinol	C05366	73399	40
CPD-8905	RXN-8677	PWY-5466	right	(+)-pinoresinol	C05366	73399	40
CPD-13089	RXN-12137	PWY-6710	right	(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate		52940134	88441
CPD-13089	RXN-12141	PWY-6710	left	(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate		52940134	88441
