Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-12815	CPD-12815	CDP-1,2-dipalmitoylglycerol	953.5142919672					C44H79N3O15P2			plantcyc <https://plantcyc.org/>		953.5142919672	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O)OC(=O)CCCCCCCCCCCCCCC		ITYHVANGBZMQML-BQUKFSKHSA-L									PlantCyc/PMN local PGDB
CPDQT-461	CPDQT-461	8-methoxypsoralen	216.0422587452					C12H8O4			plantcyc <https://plantcyc.org/>		216.0422587452	C1(=O)(OC2(/C(\C=C/1)=C\C3(\C=C/OC(C(\OC)=2)=3)))											PlantCyc/PMN local PGDB
CPD0-1493	CPD0-1493	3-deaza-GMP	362.0627499891					C11H14N4O8P			plantcyc <https://plantcyc.org/>		362.0627499891	C(OP(=O)([O-])O)[C@H]3(O[C@@H](N1(C2(/C=C(N)\NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)		SMOXFGDCBYPWTB-MGUDNFKCSA-M									PlantCyc/PMN local PGDB
CPD-14651	CPD-14651	carlactone carboxylate	332.1623738809					C19H23O5			plantcyc <https://plantcyc.org/>		332.1623738809	CC2(\CCC[C@](C)(C)C(/C=C/C(/C([O-])=O)=C\OC1(\C=C(C)/C(=O)O1))=2)		WUBRWXCVIPHXLX-DQBULIGTSA-M									PlantCyc/PMN local PGDB
CPD-9494	CPD-9494	3,5-dihydroxyanisole	140.0473441231					C7H8O3			plantcyc <https://plantcyc.org/>	flamenol // 5-methoxyresorcinol // phloroglucinol monomethyl ether	140.0473441231	COC1(\C=C(/C=C(/C=1)/O)\O)		HDVRLUFGYQYLFJ-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
CPD0-2474	CPD0-2474	( S )-NADPHX	763.1016667914					C21H28N7O18P3			plantcyc <https://plantcyc.org/>	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate	763.1016667914	C5(/N([C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))[C@@H](O)CCC(/C(=O)N)=5)		SZKXTJUOKARGIY-VPHRTNKSSA-J									PlantCyc/PMN local PGDB
CPD-16781	CPD-16781	dihydrochelerythrine	349.1314081035					C21H19NO4			plantcyc <https://plantcyc.org/>	12,13-dihydrochelerythrine	349.1314081035	CN2(C4(/C5(/C=C1(C(/OCO1)=C\C(\C=C/C(/C3(\C=C/C(/OC)=C(C(\C2)=3)/OC))=4)=5))))		ALZAZMCIBRHMFF-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
CPD0-1237	CPD0-1237	N -3-fumaroyl-L-2,3-diaminopropanoate	202.0589714419					C7H9N2O5			plantcyc <https://plantcyc.org/>	N -3-fumaroyl-(S)-2,3-diaminopropanoate // N beta -fumaroyl-DAP // N beta -fumaroyl-2,3-diaminopropanoate	202.0589714419	C([O-])(=O)/C=C/C(=O)NC[C@H]([NH3+])C([O-])=O		FYPSRFSOOLJBNE-QPHDTYRISA-M									PlantCyc/PMN local PGDB
CPD-3630	CPD-3630	(3R)-sophorol	300.0633881178					C16H12O6			plantcyc <https://plantcyc.org/>	(-)-sophorol	300.0633881178	C3(OC4(\C(\C(=O)[C@H](C2(/C=C1(C(/OCO1)=C\C(O)=2)))3)=C/C=C(/C=4)/O))		FAPWSAQOVOBPCP-NSHDSACASA-N									PlantCyc/PMN local PGDB
PROTOPORPHYRIN_IX	PROTOPORPHYRIN_IX	protoporphyrin IX	562.2580056006					C34H32N4O4			plantcyc <https://plantcyc.org/>		562.2580056006	C=CC4(\C(/C)=C3(\C=C5(C(/C)=C(CCC([O-])=O)/C(\C=C1(C(/CCC([O-])=O)=C(C)/C(/N1)=C/C2(/C(\C=C)=C(C)\C(\N=2)=C\C(\N3)=4)))=N\5)))		KSFOVUSSGSKXFI-UJJXFSCMSA-L									PlantCyc/PMN local PGDB
CPD0-1659	CPD0-1659	alpha-allenylagmatine	168.1374965344					C8H16N4			plantcyc <https://plantcyc.org/>	AA	168.1374965344	C=C=CC(CCCNC(N)=N)N		JCEZJHOHMHDSJO-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	(-)-glycinol	272.0684734957					C15H12O5			plantcyc <https://plantcyc.org/>	3,6,9-trihydroxypterocarpan // (6alphaS,11alphaS)-3,6alpha,9-trihydroxypterocarpan	272.0684734957	C3(\C(\O)=C/C4(/OC[C@]1(O)([C@@H](OC2(\C1=C/C=C(/C=2)/O))C(/C=3)=4)))		QMXOFBXZEKTJIK-LSDHHAIUSA-N									PlantCyc/PMN local PGDB
CPD-8134	CPD-8134	24- epi -campesterol	400.3705161629					C28H48O			plantcyc <https://plantcyc.org/>	ergost-5-en-3beta-ol // (24S)-methylcholest-5-en-3beta-ol // &Delta;22-dihydrobrassicasterol // (24S)-24-methyl-5-cholestene-3beta-ol // (3beta)-ergost-5-en-3-ol	400.3705161629	CC(C)[C@@H](C)CC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))		SGNBVLSWZMBQTH-ZRUUVFCLSA-N									PlantCyc/PMN local PGDB
6-HYDROXY-NICOTINATE	6-HYDROXY-NICOTINATE	6-hydroxynicotinate	139.026943032					C6H4NO3			plantcyc <https://plantcyc.org/>	6-hydroxy-nicotinate	139.026943032	C1(/N=C(\C=C/C(/C(=O)[O-])=1)/O)		BLHCMGRVFXRYRN-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
CPD-23570	CPD-23570	thioplatensimycin	457.1559082945					C24H27NO6S			plantcyc <https://plantcyc.org/>		457.1559082945	C[C@]3(C(=O)\C=C/[C@@]24(C[C@@H]1([C@@](C)(O[C@@H](C1)[C@H]23)C4)))(CCC(=O)NC5(/C(/O)=C(\C=C/C(/O)=5)/C(S)=O))		ZQYLQHFOXSDSHJ-OFBLZTNGSA-N									PlantCyc/PMN local PGDB
CPD-6082	CPD-6082	3-aminopropanal	73.052763852					C3H8NO			plantcyc <https://plantcyc.org/>	3-amino-propanal // 3-APA // 3-aminopropionaldehyde // APAL	73.052763852	C(=O)CC[NH3+]		PCXDJQZLDDHMGX-UHFFFAOYSA-O									PlantCyc/PMN local PGDB
CPD-20261	CPD-20261	2- S -cysteinyldopaquinone	314.0572568824					C12H14N2O6S			plantcyc <https://plantcyc.org/>		314.0572568824	C(SC1(\C(C(\C=C/C(\C[C@@H](C(=O)[O-])[NH3+])=1)=O)=O))[C@@H](C(=O)[O-])[NH3+]		WZVBMYNCJXSJII-BQBZGAKWSA-N									PlantCyc/PMN local PGDB
1-L-MYO-INOSITOL-1-P	1-L-MYO-INOSITOL-1-P	1D- myo -inositol 3-monophosphate	260.0297185262					C6H11O9P			plantcyc <https://plantcyc.org/>	1-L- myo -inositol-1-p // L- myo -inositol 1-phosphate // inositol 1-phosphate // myo -inositol 1-phosphate // 1D- myo -inositol 3-phosphate // Ins(3)P 1 // D- myo -inositol (3)-monophosphate // myo -inositol 1-monophosphate // Ins3P // 1L- myo -inositol 1-phosphate // myo -inositol phosphate	260.0297185262	[C@H]1(O)([C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)1)		INAPMGSXUVUWAF-PTQMNWPWSA-L									PlantCyc/PMN local PGDB
CPD-488	CPD-488	beta-L-fucose 1-phosphate	244.0348039041					C6H11O8P			plantcyc <https://plantcyc.org/>	L-Fucose 1-phosphate // 6-deoxy-L-galactose 1-phosphate // L-fucopyranose 1-(dihydrogen phosphate)	244.0348039041	C[C@@H]1(O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)1)		PTVXQARCLQPGIR-SXUWKVJYSA-L									PlantCyc/PMN local PGDB
CPD-9866	CPD-9866	2-methoxy-6-( all-trans -nonaprenyl)phenol	736.6158318122					C52H80O2			plantcyc <https://plantcyc.org/>		736.6158318122	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C(\C=C/C=1)\OC)		XRYXRAOXVPWHHK-SSRAZKMSSA-N									PlantCyc/PMN local PGDB
CPD-22077	CPD-22077	gamma-L-glutamyl-( S )-2-aminobutanoate	232.1059216345					C9H15N2O5			plantcyc <https://plantcyc.org/>		232.1059216345	CC[C@@H](C([O-])=O)NC(CC[C@@H](C(=O)[O-])[NH3+])=O		FUZOZPRKGAXGOB-WDSKDSINSA-M									PlantCyc/PMN local PGDB
CPD-13610	CPD-13610	C 20 3-dehydrosphinganine	327.3137295655					C20H42NO2			plantcyc <https://plantcyc.org/>	3-dehydro-D-sphinganine (C20) // KDHS (C20) // 3-ketodihydrosphinganine (C20) // 3-dehydroeicosasphinganine // 3-dehydroeicosadihydrosphingosine // 3-eicosanone, 2-amino-1-hydroxy- // 2-amino-1-hydroxyicosan-3-one // 3-dehydrosphinganine (C20) // 3-dehydroicosasphinganine	327.3137295655	CCCCCCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO		FVOLNXKBISLPQY-IBGZPJMESA-O									PlantCyc/PMN local PGDB
EPOXYSQUALENE	EPOXYSQUALENE	(3 S )-2,3-epoxy-2,3-dihydrosqualene	426.3861662271					C30H50O			plantcyc <https://plantcyc.org/>	squalene 2,3-epoxide // squalene 2,3-oxide // (S)-squalene-2,3-epoxide // 2,3-EDSQ // 2,3-epoxisqualene // oxidosqualene // 2,3-oxidosqualene // (3 S )-2,3-epoxysqualene	426.3861662271	CC(C)=CCCC(\C)=C/CCC(\C)=C/CC/C=C(C)/CC/C=C(C)/CC[C@H]1(C(C)(C)O1)		QYIMSPSDBYKPPY-RSKUXYSASA-N									PlantCyc/PMN local PGDB
CPD-22994	CPD-22994	7 1 -dihydroxychlorophyllide a 2	644.2121413027					C35H30N4O7MG			plantcyc <https://plantcyc.org/>		644.2121413027	C=CC4(\C(/C)=C5(\C=C7([C@@H](C)[C@H](CCC(=O)[O-])C(\C6(/[C@@H-](C(OC)=O)C(=O)C1(\C(\N2([Mg]N(C(/C=C3(C(/C(O)O)=C(C=C)\C(/C=C(C(\C)=1)\2)=N3))=4)5))=6)))=N7)))											PlantCyc/PMN local PGDB
CPD-7138	CPD-7138	cyanidin 3,5-di- O -beta-D-glucoside	611.1612099487					C27H30O16			plantcyc <https://plantcyc.org/>	cyanidin-3,5-diglucoside	611.1612099487	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC3(\C4(/C=C(C(C2(\C=C(C(/O)=C\C=2)\O))=[O+]C(\C=C(/C=3)\[O-])=4)/O[C@H]5([C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5))))		RDFLLVCQYHQOBU-ZOTFFYTFSA-N									PlantCyc/PMN local PGDB
CPD-8908	CPD-8908	(-)-lariciresinol	360.157288503					C20H24O6			plantcyc <https://plantcyc.org/>		360.157288503	COC3(\C(\O)=C/C=C(C[C@H]2([C@@H](CO)[C@H](C1(\C=C/C(/O)=C(/C=1)/OC))OC2))\C=3)		MHXCIKYXNYCMHY-SXGZJXTBSA-N									PlantCyc/PMN local PGDB
CPD-12601	CPD-12601	beta-D-mannopyranose	180.0633881178					C6H12O6			plantcyc <https://plantcyc.org/>	beta-D-mannose	180.0633881178	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)[C@H](O)O1)		WQZGKKKJIJFFOK-RWOPYEJCSA-N									PlantCyc/PMN local PGDB
CPD-602	CPD-602	5-amino-6-(5-phospho-D-ribosylamino)uracil	354.0576646112					C9H13N4O9P			plantcyc <https://plantcyc.org/>	5-amino-6-(ribosylamino)-2,4-(1H,3H)-pyrimidinedione 5'-phosphate // 5-amino-6-(5'-phosphoribosylamino)uracil	354.0576646112	C(OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)NC2(NC(=O)NC(=O)C(N)=2))		LZEXYCAGPMYXLX-UMMCILCDSA-L									PlantCyc/PMN local PGDB
CPD-4202	CPD-4202	trans -zeatin riboside triphosphate	591.0532600358					C15H20N5O14P3			plantcyc <https://plantcyc.org/>	ZTP // zeatin triphosphate // tZRTP	591.0532600358	CC(/CO)=C\CNC3(/N=C\N=C1(C(/N=C\N1[C@@H]2(O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)2))=3))		AOFQQLZNDSBFLN-HNNGNKQASA-J									PlantCyc/PMN local PGDB
CPD-5881	CPD-5881	4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin	257.1124039959					C9H15N5O4			plantcyc <https://plantcyc.org/>	4a-hydroxy-5,6,7,8-tetrahydrobiopterin // 4a-hydroxy-tetrahydropterin // (6 R )-6-(L- erythro -1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin // (6R)-4a-hydroxy-tetrahydrobiopterin	257.1124039959	C[C@H](O)[C@H](O)[C@H]1(CNC2(\[C@@](O)(N1)C(=O)\N=C(N)/N=2))		KJKIEFUPAPPGBC-XXKOCQOQSA-N									PlantCyc/PMN local PGDB
4-HYDROXY-BUTYRYL-COA	4-HYDROXY-BUTYRYL-COA	4-hydroxybutanoyl-CoA	853.1519878024					C25H38N7O18P3S			plantcyc <https://plantcyc.org/>	4-hydroxybutyryl-CoA	853.1519878024	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]		BAMBWCGEVIAQBF-CITAKDKDSA-J									PlantCyc/PMN local PGDB
