Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
DUTP	DUTP	dUTP	467.9736127313					C9H11N2O14P3			plantcyc <https://plantcyc.org/>	deoxy-UTP // 2'-deoxyuridine-5'-triphosphate // deoxyuridine-triphosphate	467.9736127313	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2)		AHCYMLUZIRLXAA-SHYZEUOFSA-J	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides	Pyrimidine 2'-deoxyribonucleoside triphosphates	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-10449	CPD-10449	2-hydroxylamino-4,6-dinitrotoluene-C3-glucoside	379.1226939107					C13H17N3O10			plantcyc <https://plantcyc.org/>	2-HADNT C-glucoside	379.1226939107	CC1(/C(/NO)=C(C(/[N+]([O-])=O)=C\C(\[N+]([O-])=O)=1)/C2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)2))		LQVHMKSGVVHSHF-DDSNRORXSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Phenolic glycosides	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-8652	CPD-8652	leucodopachrome	195.0531577825					C9H8NO4			plantcyc <https://plantcyc.org/>	cyclo-dopa // 2-carboxy-2,3-dihydro-5,6-dihydroxyindole	195.0531577825	C([O-])(=O)[C@H]1(NC2(\C=C(C(/O)=C\C(/C1)=2)\O))		JDWYRSDDJVCWPB-LURJTMIESA-M	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolecarboxylic acids and derivatives	Indolecarboxylic acids	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
PHOSPHORYL-CHOLINE	PHOSPHORYL-CHOLINE	phosphocholine	185.0816945172					C5H13NO4P			plantcyc <https://plantcyc.org/>	choline-phosphate // phosphoryl-choline // O -phosphocholine	185.0816945172	C[N+](CCOP([O-])([O-])=O)(C)C		YHHSONZFOIEMCP-UHFFFAOYSA-M	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	Phosphocholines	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-4603	CPD-4603	isopentenyladenine-9- N -glucoside	365.1699188748					C16H23N5O5			plantcyc <https://plantcyc.org/>		365.1699188748	CC(C)=CCNC1(\C2(\N=C/N(C(\N=C/N=1)=2)[C@@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)))		XEHLLUQVSRLWMH-HMXKMONRSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosylamines	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
DEAMIDO-NAD	DEAMIDO-NAD	nicotinate adenine dinucleotide	666.1087872815					C21H24N6O15P2			plantcyc <https://plantcyc.org/>	deamino-NAD+ // NaADN // deamido-NAD + // deamidonicotinamide adenine dinucleoetide // deamido-NAD // NaAD // nicotinic acid adenine dinucleotide	666.1087872815	C5(/C(/C([O-])=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5)		SENPVEZBRZQVST-HISDBWNOSA-L	Organic compounds	Nucleosides, nucleotides, and analogues	(5'->5')-dinucleotides		(5'->5')-dinucleotides	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-16610	CPD-16610	ent -sandaracopimaradien-3beta-ol	288.2453156493					C20H32O			plantcyc <https://plantcyc.org/>	3alpha-hydroxy- ent -sandaracopimardiene	288.2453156493	C=C[C@@]3(CC[C@H]2([C@@]1(CC[C@@H](O)C(C)([C@H]1CCC/2=C\3)C)C))C		ATQOOBSXQVRQPY-GNVJSZRZSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-577	CPD-577	cyclohexane-1-carbonyl-CoA	877.1883733087					C28H42N7O17P3S			plantcyc <https://plantcyc.org/>	cyclohexylcarbonyl-CoA // cyclohexane-1-carboxyl-CoA	877.1883733087	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1(CCCCC1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]		QRSKGVRHSLILFG-TYHXJLICSA-J	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	Acyl CoAs	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-632	CPD-632	gibberellin A 34 -catabolite	346.1416384388					C19H20O6			plantcyc <https://plantcyc.org/>	GA34-catabolite	346.1416384388	C=C1([C@H]2(C[C@]3(C1)([C@H]([C@@H]4([C@@](C(=O)[O-])(C)[C@@H](O)C(=O)C=C([C@@H](CC2)3)4))C([O-])=O)))		ZHUFJGRQVHLFRM-ONBGMUNTSA-L	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	C19-gibberellin 6-carboxylic acids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-15205	CPD-15205	beta-D-mannuronate	194.0426526757					C6H9O7			plantcyc <https://plantcyc.org/>		194.0426526757	C([O-])(=O)[C@H]1(O[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)1)		AEMOLEFTQBMNLQ-SYJWYVCOSA-M	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glucuronic acid derivatives	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
