Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
UNDECAPRENYL-DIPHOSPHATE	UNDECAPRENYL-DIPHOSPHATE	di-trans,octa-cis -undecaprenyl diphosphate	926.6318283279					C55H89O7P2			plantcyc <https://plantcyc.org/>	di- trans -poly- cis -undecaprenyl diphosphate // undecaprenyl-PP (ambiguous) // bactoprenyl pyrophosphate // undecaprenyl pyrophosphate (ambiguous) // UPP (ambiguous) // C 55 -PP (ambiguous) // Und-PP	926.6318283279	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])[O-]		NTXGVHCCXVHYCL-NTDVEAECSA-K							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-22131	CPD-22131	(3beta,9beta)-4alpha-demethyl-4alpha-carboxy-9,19-cyclolanost-3-ol	458.3759954713					C30H49O3			plantcyc <https://plantcyc.org/>		458.3759954713	CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@@](C([O-])=O)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5))))		ZKSALBYCUMOUDO-TWOGUOSYSA-M	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cycloartanols and derivatives	Cycloartanols and derivatives	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-19017	CPD-19017	4-(isobutanoyl)sucrose	412.158076364					C16H28O12			plantcyc <https://plantcyc.org/>		412.158076364	CC(C)C(O[C@H]2([C@H](O)[C@@H](O)[C@@H](O[C@]1(CO)(O[C@H](CO)[C@@H](O)[C@H](O)1))O[C@H](CO)2))=O		XDCGLMGQYMZCGQ-JXBHDTGASA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-21559	CPD-21559	intermediate I	352.1786926471					C21H23N2O3			plantcyc <https://plantcyc.org/>		352.1786926471	C/C=C4([C@@H]1(CC=[N+](CCC2(\C3(/C=C\C=C/C(/NC(/[C@](C(OC)=O)(C=O)1)=2)=3)))C4))		QWXYZCJEXYQNEI-OSZHWHEXSA-N	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indoles	3-alkylindoles	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD4FS-30	CPD4FS-30	Zealexin D2	264.1361591304					C15H20O4			plantcyc <https://plantcyc.org/>		264.1361591304	C=C(C1(C/C=C(CC1)/C(O)=O))CC\C=C(C)/C(O)=O		UKHRSPZANCGGPO-WZUFQYTHSA-N							not_found	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD4KF-7	CPD4KF-7	9beta-pimara-7,15-diene	272.2504010272					C20H32			plantcyc <https://plantcyc.org/>	9beta-pimara-7,15-diene // 9beta-hydroxy-pimara-7,15-diene	272.2504010272	C[C@]2(CCC[C@@]3([C@H]1(C(/C[C@@](CC1)(C=C)C)=C/C[C@@H]23))C)C											PlantCyc/PMN local PGDB
CPD-14270	CPD-14270	dodecyl icosanoate	480.4906312986					C32H64O2			plantcyc <https://plantcyc.org/>	dodecyl arachidate	480.4906312986	CCCCCCCCCCCCCCCCCCCC(OCCCCCCCCCCCC)=O		GFFYHZLIDINABP-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Wax monoesters	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
CPD-17604	CPD-17604	(7S)- cis -hinokiresinol	252.1150297578					C17H16O2			plantcyc <https://plantcyc.org/>	(7S)- (Z) -hinokiresinol	252.1150297578	C=C[C@H](C1(\C=C/C(/O)=C\C=1))\C=C/C2(\C=C/C(/O)=C\C=2)		VEAUNWQYYMXIRB-XSHSDMCLSA-N	Organic compounds	Lignans, neolignans and related compounds			Lignans, neolignans and related compounds	Aromatic homomonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-21505	CPD-21505	(13 S ,14 R )-1,13-dihydroxy- cis - N -methylcanadine	387.1681875403					C21H24NO6			plantcyc <https://plantcyc.org/>		387.1681875403	C[N+]14(CC5(/C(/OC)=C(\C=C/C(/[C@H](O)[C@@H](C2(/C(\CC1)=C\C3(\OCOC(/C(/O)=2)=3)))4)=5)/OC))		NEHFHOHLVOGDCL-FGSXEWAUSA-O							completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
DTDP-DEOH-DEOXY-MANNOSE	DTDP-DEOH-DEOXY-MANNOSE	dTDP-4-dehydro-beta-L-rhamnose	546.0651911323					C16H22N2O15P2			plantcyc <https://plantcyc.org/>	dTDP-4-oxo-6-deoxy-beta-L-mannose // dTDP-4-oxo-beta-L-rhamnose // dTDP-4-dehydro-6-deoxy-beta-L-mannose // dTDP-4-keto-L-rhamnose	546.0651911323	CC1(\C(=O)NC(=O)N(\C=1)[C@H]3(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2(O[C@@H](C)C(=O)[C@@H](O)[C@@H](O)2))O3))		PSXWNITXWWECNY-LPVGZGSHSA-L	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine nucleotide sugars	Pyrimidine nucleotide sugars	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-17454	CPD-17454	malonyl-furaneol glucopyranoside	376.1005614851					C15H19O11			plantcyc <https://plantcyc.org/>	2,5-dimethyl-4-hydroxy-3(2H)-furanone 6'O-malonyl-beta-D-glucopyranoside	376.1005614851	CC1(OC(\C)=C(C(=O)1)/O[C@H]2([C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(=O)CC([O-])=O)O2))		QJYOBEMAMLWZTF-ALQFCZPRSA-M	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>	PlantCyc/PMN local PGDB
