Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPD-16719	CPD-16719	ent -cassa-12,15-dien-2beta-ol	288.2453156493					C20H32O			plantcyc <https://plantcyc.org/>	2alpha-hydroxy- ent -cassadiene	288.2453156493	C=CC1([C@@H](C)[C@@H]2([C@@H](CC=1)[C@@]3(C)([C@H](CC2)C(C)(C)C[C@H](O)C3)))		XABYPRBWQNEUHH-IIPJSQIGSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Isocopalane and spongiane diterpenoids	Aliphatic homopolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-8086	CPD-8086	1-linoleoyl-2-palmitoyl-phosphatidylglycerol	746.5097851385					C40H74O10P			plantcyc <https://plantcyc.org/>	phosphatidylglycerol (1-18:2-2-16:0) // 18:2-16:0-PG // 1-(9Z,12Z-octadecadienoyl)-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol) // 1-18:2-2-16:0-phosphatidylglycerol	746.5097851385	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H](CO)O		IYKXCQWBMRYBPI-WLGRLVTESA-M							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
MALONATE-S-ALD	MALONATE-S-ALD	3-oxopropanoate	88.0160439947					C3H3O3			plantcyc <https://plantcyc.org/>	malonate semialdehyde // malonic semialdehyde	88.0160439947	C(=O)CC([O-])=O		OAKURXIZZOAYBC-UHFFFAOYSA-M							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
ENT-COPALYL-DIPHOSPHATE	ENT-COPALYL-DIPHOSPHATE	(-)- ent -copalyl diphosphate	450.1936265303					C20H33O7P2			plantcyc <https://plantcyc.org/>	(-)-copalyl diphosphate // ent -copalyl diphosphate	450.1936265303	CC(/CC[C@H]1([C@@]2(CCCC(C)(C)[C@@H](CCC1=C)2)C))=C\COP([O-])(=O)OP([O-])([O-])=O		JCAIWDXKLCEQEO-PGHZQYBFSA-K							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-12587	CPD-12587	(2 E ,6 E )-farnesyl phosphate	302.1646958651					C15H25O4P			plantcyc <https://plantcyc.org/>	2,6,10-dodecatrien-1-ol, 3,7,11-trimethyl-, dihydrogen phosphate, ( 2E,6E )- // 2,6,10-dodecatrien-1-ol, 3,7,11-trimethyl-, dihydrogen phosphate, ( E,E ) // ( E,E )-farnesyl monophosphate // ( E,E )-farnesyl phosphate // ( trans, trans )-farnesyl monophosphate // 2- trans ,-6- trans -farnesyl monophosphate // 2- trans ,-6- trans -farnesyl phosphate	302.1646958651	CC(C)=CCCC(\C)=C/CCC(\C)=C/COP([O-])([O-])=O		ALEWCKXBHSDCCT-YFVJMOTDSA-L	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Sesquiterpenoids	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-18630	CPD-18630	C33-phthiotriol A	512.5168460491					C33H68O3			plantcyc <https://plantcyc.org/>	4-methyldotriacontane-3,9,11-triol	512.5168460491	CCCCCCCCCCCCCCCCCCCCC[C@@H](O)C[C@H](O)CCCC[C@H](C)[C@H](O)CC		LCBMZQAFNALYOG-LDLFXXLYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Fatty alcohols	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	(-)-glycinol	272.0684734957					C15H12O5			plantcyc <https://plantcyc.org/>	3,6,9-trihydroxypterocarpan // (6alphaS,11alphaS)-3,6alpha,9-trihydroxypterocarpan	272.0684734957	C3(\C(\O)=C/C4(/OC[C@]1(O)([C@@H](OC2(\C1=C/C=C(/C=2)/O))C(/C=3)=4)))		QMXOFBXZEKTJIK-LSDHHAIUSA-N	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Furanoisoflavonoids	Pterocarpans	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
17-O-DEACETYLVINDOLINE	17-O-DEACETYLVINDOLINE	17-O-deacetylvindoline	414.2154720839					C23H31N2O5			plantcyc <https://plantcyc.org/>	deacetylvindoline	414.2154720839	CC[C@@]25(\C=C/C[NH+]4(CC[C@@]1(C3(/C=C\C(\OC)=C/C(/N(C)[C@H]1[C@](C(OC)=O)(O)[C@H](O)2)=3))[C@@H]45))		ZDKMPOJNYNVYLA-PEGGBQQISA-O							no_data	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-27139	CPD-27139	beta-colubrine	364.1786926471					C22H25N2O3			plantcyc <https://plantcyc.org/>	2-methoxystrychnine	364.1786926471	COC7(\C=C6([C@@]15(CC[NH+]2(CC3(\[C@H](C[C@@H]12)[C@H]4([C@@H](OC/C=3)CC(=O)N([C@@H]45)C/6=C/C=7))))))		ZTHVHELPCLGXHF-JPPAUQSISA-O	Organic compounds	Alkaloids and derivatives	Strychnos alkaloids		Strychnos alkaloids	Aromatic heteropolycyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-8911	CPD-8911	(3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol	360.157288503					C20H24O6			plantcyc <https://plantcyc.org/>	(3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-ol	360.157288503	COC3(/C=C(C[C@@H]2([C@@H](CC1(\C=C(C(/O)=C\C=1)\OC))C(OC2)O))\C=C/C(/O)=3)		AQTZWMJGAOIWFV-VKWYCSODSA-N	Organic compounds	Lignans, neolignans and related compounds	Furanoid lignans	Tetrahydrofuran lignans	Dibenzylbutyrolactols	Aromatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
CPD-7202	CPD-7202	4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial	216.1150297578					C14H16O2			plantcyc <https://plantcyc.org/>		216.1150297578	CC(/C=C/C=O)=C\C=C\C=C(C)\C=C\C=O		QXJSYJRWEUENRT-PSAUJTBTSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Medium-chain aldehydes	Aliphatic acyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
S-ALLANTOIN	S-ALLANTOIN	( S )-(+)-allantoin	158.0439900797					C4H6N4O3			plantcyc <https://plantcyc.org/>	S -allantoin	158.0439900797	C(=O)(N)N[C@H]1(NC(=O)NC(=O)1)		POJWUDADGALRAB-SFOWXEAESA-N	Organic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	Imidazoles	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
L-DELTA1-PYRROLINE_5-CARBOXYLATE	L-DELTA1-PYRROLINE_5-CARBOXYLATE	( S )-1-pyrroline-5-carboxylate	113.0476784741					C5H6NO2			plantcyc <https://plantcyc.org/>	pyrroline 5-carboxylate // L-&Delta; 1 -pyrroline-5-carboxylate // 1-pyrroline-5-carboxylate // L-1-pyrroline-5-carboxylate // delta-1-pyrroline-5-carboxylic acid // delta-1-pyrroline-5-carboxylate	113.0476784741	C1(\CC[C@@H](C(=O)[O-])\N=1)		DWAKNKKXGALPNW-BYPYZUCNSA-M	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids and derivatives	Aliphatic heteromonocyclic compounds	completed	Fiehn ClassyFire Batch <https://cfb.fiehnlab.ucdavis.edu/>; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache; local PlantCyc cache	PlantCyc/PMN local PGDB
